SD-192灯盒多只,攻15X1.26,0.04
SB-192灯盒单只,攻15X1.26,0.0551
HM51-17灯盒多只,攻15X1.26,0.04
HM51-17灯盒单只,攻15X1.26,0.0551
MH-149D上支架,攻6孔,0.044
KA56Q铁叶码A,攻2孔,0.022
KA48Q铁叶码B,攻2孔,0.022
HM15-07A横杆,攻2孔,0.04
HM10-72接线支架,攻2孔,0.02
R-607-02丁字钩盖,攻3孔,0.024
HM15-05横杆,攻3孔,0.062
HM60-75支架,攻3孔,0.033
SBP-092灯盒盖,攻15X1.26,0.0523
R-549D大球架,攻14孔,0.1343
R-549C大球架,攻10孔,0.087
FM47-09后壳,攻4孔,0.033
FM47-10后壳,攻4孔,0.033
LK-401灯盘,攻3孔,0.033
96368中盘,攻4孔,0.044
77538支架,攻3孔,0.018
针臣支架HM10-19,攻2孔,0.02
LK-407灯头支架,攻3孔,0.0363
65211扣夹,攻1孔,0.011
95046一字挂板,攻2孔,0.017
HM11-01一字吊盘,攻7孔,0.0627
FM70-49开关座,攻2孔,0.02
FM40-100支架,攻2孔,0.02
HM36-64下壳,攻1孔,0.025
SBP-064灯盒盖,攻3孔,0.02
SBP-069灯盒,攻3孔,0.02
HM30-60电容码,攻2孔,0.022
LK-093C灯卡,攻4孔,0.066
MH-184A下支架,攻1孔,0.097
LK-404灯头支架,攻4孔,0.044
推制支架HM30-55,攻2孔,0.025
推制支架HM30-56,攻2孔,0.025
HM62-41灯盘,攻3孔,0.065
HM22-07中罩,攻4孔,0.15
HM62-42灯盘,攻2孔,0.075
HM62-43灯卡,攻5孔,0.1
HM60-90灯底板,攻3孔,0.04
HM41-57铁叶码,攻4孔,0.06
SB-154灯盒,攻9孔,0.105
R-615-1球架支架,攻4孔,0.039
电容安装板LC-028,攻4孔,0.027
73990-07灯头支架,攻2孔,0.0166
fcto-19电容码,攻3孔,0.033
M657针臣支架,攻2孔,0.019
77526灯头支架,攻2孔,0.017
RG021D细底板,攻3孔,0.02
HCT4-22电容夹双孔,攻2孔,0.02
HCT4-22电容夹单孔,攻1孔,0.011
LK-041B连接板,攻2孔,0.04
M280上盅盖,攻5孔,0.04
HM62-37B灯盘,攻8孔,0.105
BC-224铁叶码,攻4孔,0.06
MR52下罩,攻3孔,0.08
HM22-10中罩,攻6孔,0.0516
HM60-111灯底板,攻3孔,0.045
HM60-113灯底板,攻6孔,0.08
HM60-115灯底板,攻6孔,0.08
HM60-117灯底板,攻6孔,0.08
HM23-14下罩,攻3孔,0.045
HM62-57灯盘,攻2孔,0.04
HM30-31电容器,攻2孔,0.03
HM62-53灯盘,攻3孔,0.045
HM62-54接线盒,攻5孔,0.075
HM62-55灯盒,攻1孔,0.015
HM62-45A灯盒,攻1孔,0.02
HM62-46灯卡,攻3孔,0.045
HM63-05灯头支架,攻2孔,0.03
HM62-47灯盘,攻3孔,0.045
HM30-68接线托盘,攻2孔,0.03
HM62-51灯盘,攻6孔,0.09
HM62-50灯盘,攻4孔,0.08
HM16-08上支架,攻6孔,0.059
HM16-09上支架,攻6孔,0.059
HM16-12上支架,攻6孔,0.059
HM16-13上支架,攻6孔,0.059
G0175灯头支架,攻2孔,0.017
HM50-11压线盒,攻3孔,0.045
CUM-089上盅支架,攻1孔,0.011
LK-162-1灯头支架,攻2孔,0.025
SB-213灯盒,攻1孔,0.015
LC-037电容安装盒,攻3孔,0.02
M458下罩支架,攻1孔,0.011
HM60-136U型片,攻2孔,0.03
HM60-131灯底板,攻3孔,0.04
HM62-69灯盘,攻1孔,0.015
HM60-141焊耳,攻1孔,0.016
HM62-64灯盘,攻4孔,0.06
HM62-68灯卡,攻3孔,0.045
HM62-66灯盒,攻6孔,0.09
HM60-143定位片,攻2孔,0.025
HM62-67灯盘,攻1孔,0.025
HM62-65灯盘,攻3孔,0.045
HM62-70灯卡,攻6孔,0.09
LK-218灯头支架,攻1孔,0.016
HM63-18灯头支架,攻3孔,0.0311
88369葫芦组件,烧焊,0.15
88369葫芦组件,打磨,0.08
67324饰粒,攻1/8-27X1,0.029
67492饰粒,攻1/8-27X1,0.029
M747E盅颈,钻3孔,0.09
M747E盅颈,攻2孔,0.03
M340E盅颈,钻2孔,0.06
M340E盅颈,攻1孔,0.015
M340F盅颈,钻2孔,0.06
M340F盅颈,攻2孔,0.03
LK-093灯卡,钻3孔,0.121
LK-093灯卡,攻4孔,0.088
MH-204熟铁吊头,钻1孔,0.035
MH-204熟铁吊头,攻4孔,0.0428
MH-204熟铁吊头,攻15X1.25,0.0541
HM30-69托盘轴套,铣口,0.22
HM30-69托盘轴套,打磨,0.155
WQ-1742铁线圈,弯铁圈,0.022
RG029D旋钮,钻1孔,0.02
HM60-64托盘轴套,钻1孔,0.03
HM60-64托盘轴套,攻1孔,0.015
HM30-69托盘轴套,钻1孔,0.03
HM30-69托盘轴套,攻1孔,0.015
HM10-23盅颈,钻1孔,0.03
HM10-23盅颈,攻1孔,0.015
77537饰粒,扩1孔,0.026
77537饰粒,攻1孔,0.03
77537饰粒,吹屎,0.02
76075饰粒,扩1孔,0.026
76075饰粒,攻1孔,0.03
76075饰粒,吹屎,0.02
75171饰粒,扩1孔,0.026
75171饰粒,攻1孔,0.03
75171饰粒,吹屎,0.02
75184滚花罗母,扩1孔,0.024
75184滚花罗母,攻1孔,0.029
75184滚花罗母,打磨,0.0243
HM50-10A连接座,攻3孔,0.0416
HM50-10A连接座,钻1孔,0.035
HM50-10A连接座,攻15X1.25,0.0523
MH-117E生铁吊头,钻Φ18.7X1,0.28
MH-117E生铁吊头,钻Φ14X1,0.22
MH-117E生铁吊头,车内牙1/2X1,0.28
MH-117E生铁吊头,车内牙15X1.25,0.2
MH-117E生铁吊头,钻Φ5.5X2,0.12
MH-117E生铁吊头,钻Φ5.5X1,0.08
MH-117E生铁吊头,钻Φ4.2X1,0.08
MH-117E生铁吊头,钻Φ2.5X1,0.09
MH-117E生铁吊头,攻M5X1,0.05
MH-117E生铁吊头,攻M5X1,0.05
MH-117E生铁吊头,钻Φ4.2X1,0.08
MH-117E生铁吊头,攻M5X1,0.05
G1002-01F饰粒,钻1孔,0.024
G1002-01F饰粒,攻1孔,0.029
HM20-27吊头套,开料,0.0018
HM20-27吊头套,钻Φ4孔,0.18
AHU42叶码多只,钻孔,0.0249
UE42叶码多只,钻孔,0.027
UC42叶码多只,钻孔,0.027
HM41-67叶码多只,钻孔,0.043
BJ-0595装饰圈,开料,0.016
BJ-0595装饰圈,开铁线,0.042
BJ-0595装饰圈,介2头,0.104
BJ-0595装饰圈,铣坑,0.21
BJ-0595装饰圈,校正,0.084
BJ-0595装饰圈,轧型,0.126
BJ-0595装饰圈,钻Φ5孔,0.164
BJ-0595装饰圈,穿铁线,0.21
BJ-0595装饰圈,弯铁线,0.126
BJ-0595装饰圈,烧罗丝,0.084
BJ-0595装饰圈,烧十字架,0.284
BJ-0595装饰圈,焊16点,1.05
BJ-0595装饰圈,剪铍锋,0.126
BJ-0595装饰圈,打磨全只,1.155
AHU42叶码单只,钻2孔,0.01
AHU42叶码单只,钻3孔,0.0195
AHU42叶码单只,攻3孔,0.0132
UE42叶码,钻2孔,0.01
UE42叶码,钻3孔,0.0195
UE42叶码,攻3孔,0.0132
AL52叶码,钻2孔,0.01
AL52叶码,钻3孔,0.0195
AL52叶码,攻3孔,0.0132
AMR42叶码,钻2孔,0.01
AMR42叶码,钻3孔,0.0195
AMR42叶码,攻3孔,0.0132
AMD、DH42叶码,钻2孔,0.01
AMD、DH42叶码,钻3孔,0.0195
AMD、DH42叶码,攻3孔,0.0132
UC42叶码单只,钻2孔,0.01
UC42叶码单只,钻3孔,0.0195
UC42叶码单只,攻牙,0.0155
M658B连接座,钻1孔,0.035
M658B连接座,攻3孔,0.0416
M658B连接座,攻15X1.25,0.0523
HM10-74铝波球,钻2孔,0.0466
HM10-74铝波球,攻2孔,0.0342
HM10-74铝波球,打磨,0.0342
HM14-05铝球架,钻7孔,0.126
HM14-05铝球架,攻7孔,0.068
HM14-05铝球架,锉铍锋,0.126
HM14-07铝球架,钻7孔,0.15
HM14-07铝球架,攻7孔,0.105
HM14-07铝球架,锉铍锋,0.13
HM14-04铝球架,钻5孔,0.0675
HM14-04铝球架,攻3孔,0.0675
HM14-04铝球架,攻2孔,0.0264
HM14-04铝球架,打磨,0.126
MH-200铝吊头,攻M6X6,0.1
MH-200铝吊头,攻15X1.25,0.1
MH-200铝吊头,钻Φ4.2X1,0.07
MH-200铝吊头,钻Φ7X1,0.07
MH-200铝吊头,钻Φ7X1,0.07
MH-200铝吊头,钻Φ5X2,0.07
MH-200铝吊头,钻Φ5X6,0.0438
MH-200铝吊头,攻M5X1,0.01
MH-200铝吊头,攻M6X2,0.02
MH-200铝吊头,锉铍锋,0.045
MH-210铝吊头,攻M6X6,0.1
MH-210铝吊头,攻15X1.25,0.1
MH-210铝吊头,钻Φ4.2X1,0.07
MH-210铝吊头,钻Φ7X1,0.07
MH-210铝吊头,钻Φ7X1,0.07
MH-210铝吊头,钻Φ5X2,0.07
MH-210铝吊头,钻Φ5X6,0.0438
MH-210铝吊头,攻M5X1,0.01
MH-210铝吊头,攻M6X2,0.02
MH-210铝吊头,锉铍锋,0.045
MH-209铝吊头,攻M6X6,0.1
MH-209铝吊头,攻15X1.25,0.1
MH-209铝吊头,钻Φ7X1,0.07
MH-209铝吊头,钻Φ7X1,0.07
MH-209铝吊头,钻Φ5X2,0.07
MH-209铝吊头,钻Φ5X6,0.0438
MH-209铝吊头,钻Φ9X1,0.0253
MH-209铝吊头,钻Φ4.2X1,0.013
MH-209铝吊头,攻M5X1,0.01
MH-209铝吊头,攻M6X2,0.02
MH-209铝吊头,锉铍锋,0.045
HPA叶码花,钻3孔,0.04
HPA叶码花,攻3孔,0.03
DP叶码花,钻3孔,0.04
DP叶码花,攻3孔,0.03
F05HM41-54叶码,钻4孔,0.05
F05HM41-54叶码,钻2孔,0.042
F05HM41-54叶码,攻4孔,0.05
HM41-63叶码,钻3孔,0.06
HM41-63叶码,钻2孔,0.04
HM41-63叶码,攻3孔,0.055
HM41-68叶码,钻3孔,0.06
HM41-68叶码,钻2孔,0.04
HM41-68叶码,钻1孔,0.03
HM41-68叶码,攻3孔,0.04
HM41-68叶码,攻1孔,0.025
OR44叶码,钻Φ15孔,0.134
OR44叶码,钻5孔,0.079
OR44叶码,钻6孔,0.09
OR44叶码,攻15孔,0.125
OR44叶码,攻5孔,0.07
65344支撑管,开料,0.007
65344支撑管,磨铍锋,0.015
HM41-71叶码,钻3孔,0.06
HM41-71叶码,钻2孔,0.045
HM41-71叶码,攻3孔,0.05
HM13-33吊杆（22X445）,开料,0.036
HM13-33吊杆（22X445）,倒角,0.022
HM13-33吊杆（22X445）,钻Φ7X2,0.038
HM13-33吊杆（22X445）,钻Φ7X2,0.038
HM13-33吊杆（22X445）,钻Φ11X1,0.04
HM13-33吊杆（22X445）,钻Φ8.5X2,0.04
HM13-33吊杆（22X445）,钻Φ4X1,0.025
HM13-33吊杆（22X445）,钻Φ4X1,0.025
HM13-33吊杆（22X445）,钻Φ3.2X1,0.028
HM13-33吊杆（22X445）,攻M4X1,0.02
HM13-33吊杆（22X445）,倒内孔,0.033
HM13-33吊杆（22X445）,冲坑,0.025
HM13-33吊杆（22X445）,冲地唛,0.025
HM13-33吊杆（22X445）,打磨,0.075
R-591E-1吊杆（Φ27X150）,开料,0.036
R-591E-1吊杆（Φ27X150）,倒角,0.022
R-591E-1吊杆（Φ27X150）,钻Φ8X2,0.03
R-591E-1吊杆（Φ27X150）,钻Φ7X2,0.03
R-591E-1吊杆（Φ27X150）,钻Φ3.5X1,0.024
R-591E-1吊杆（Φ27X150）,钻Φ3.5X1,0.024
R-591E-1吊杆（Φ27X150）,攻8-32X1,0.013
R-591E-1吊杆（Φ27X150）,攻8-32X1,0.013
R-591E-1吊杆（Φ27X150）,倒内孔,0.028
R-591E-1吊杆（Φ27X150）,打磨,0.048
HM13-36吊杆（Φ27X200）,开料,0.036
HM13-36吊杆（Φ27X200）,倒角,0.022
HM13-36吊杆（Φ27X200）,钻Φ8X2,0.03
HM13-36吊杆（Φ27X200）,钻Φ7X2,0.03
HM13-36吊杆（Φ27X200）,钻Φ6.5X1,0.03
HM13-36吊杆（Φ27X200）,钻Φ3.5X1,0.024
HM13-36吊杆（Φ27X200）,钻Φ3.5X1,0.024
HM13-36吊杆（Φ27X200）,钻Φ3.5X1,0.024
HM13-36吊杆（Φ27X200）,攻8-32X3,0.039
HM13-36吊杆（Φ27X200）,倒内孔,0.028
HM13-36吊杆（Φ27X200）,打磨,0.048
HM13-34吊杆（Φ22X445）,开料,0.036
HM13-34吊杆（Φ22X445）,倒角,0.022
HM13-34吊杆（Φ22X445）,钻Φ7X2,0.04
HM13-34吊杆（Φ22X445）,钻Φ11X1,0.04
HM13-34吊杆（Φ22X445）,钻Φ8.5X2,0.04
HM13-34吊杆（Φ22X445）,钻Φ3.2X1,0.028
HM13-34吊杆（Φ22X445）,钻Φ3.2X1,0.028
HM13-34吊杆（Φ22X445）,攻M4X1,0.02
HM13-34吊杆（Φ22X445）,攻M4X1,0.02
HM13-34吊杆（Φ22X445）,倒内孔,0.033
HM13-34吊杆（Φ22X445）,冲坑,0.025
HM13-34吊杆（Φ22X445）,冲地唛,0.025
HM13-34吊杆（Φ22X445）,打磨,0.075
HM13-26吊杆（Φ27X4.5）,开料,0.036
HM13-26吊杆（Φ27X4.5）,倒角,0.022
HM13-26吊杆（Φ27X4.5）,钻Φ8X2,0.04
HM13-26吊杆（Φ27X4.5）,钻Φ7X2,0.04
HM13-26吊杆（Φ27X4.5）,钻Φ3.5X1,0.028
HM13-26吊杆（Φ27X4.5）,钻Φ3.5X1,0.028
HM13-26吊杆（Φ27X4.5）,钻Φ3.5X1,0.028
HM13-26吊杆（Φ27X4.5）,攻8-32X3,0.06
HM13-26吊杆（Φ27X4.5）,倒内孔,0.033
HM13-26吊杆（Φ27X4.5）,打磨,0.048
HM13-26吊杆（Φ27X4.5）,合计:,0.363
R-591E吊杆（27X4.5）,开料,0.036
R-591E吊杆（27X4.5）,倒角,0.022
R-591E吊杆（27X4.5）,钻Φ7X2,0.04
R-591E吊杆（27X4.5）,钻Φ8X2,0.04
R-591E吊杆（27X4.5）,钻Φ3.5X1,0.028
R-591E吊杆（27X4.5）,钻Φ3.5X1,0.028
R-591E吊杆（27X4.5）,攻8-32X2,0.04
R-591E吊杆（27X4.5）,倒内孔,0.033
R-591E吊杆（27X4.5）,打磨,0.048
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,开料,0.036
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,倒角,0.022
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,钻Φ7X2,0.038
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,钻Φ7X2,0.038
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,钻Φ11X1,0.04
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,钻Φ3.2X1,0.025
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,钻Φ6.5X2,0.04
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,钻Φ3.5X1,0.028
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,钻Φ3.5X1,0.028
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,攻M4X1,0.02
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,攻8-32X2,0.04
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,倒内孔,0.033
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,冲坑,0.025
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,打磨,0.048
HM13-38吊杆（Φ21X195，Φ21X30，Φ21X48）,合计:,0.461
HM13-28叉杆（Φ22X489）,开料,0.036
HM13-28叉杆（Φ22X489）,开叉口,0.035
HM13-28叉杆（Φ22X489）,倒角,0.0173
HM13-28叉杆（Φ22X489）,拍平,0.0324
HM13-28叉杆（Φ22X489）,剪边、冲孔,0.027
HM13-28叉杆（Φ22X489）,钻Φ7X2,0.03
HM13-28叉杆（Φ22X489）,钻Φ11X1,0.03
HM13-28叉杆（Φ22X489）,钻Φ3.2X1,0.024
HM13-28叉杆（Φ22X489）,钻Φ3.2X1,0.024
HM13-28叉杆（Φ22X489）,攻M4X1,0.013
HM13-28叉杆（Φ22X489）,攻M4X1,0.013
HM13-28叉杆（Φ22X489）,倒内孔,0.033
HM13-28叉杆（Φ22X489）,冲坑,0.025
HM13-28叉杆（Φ22X489）,冲地唛,0.025
HM13-28叉杆（Φ22X489）,冲商标,0.025
HM13-28叉杆（Φ22X489）,打磨,0.075
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,开料,0.036
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,倒角,0.022
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,开叉口,0.0378
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,拍平,0.0324
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,剪边、冲孔,0.027
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,钻Φ7X2,0.038
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,钻Φ7X2,0.038
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,钻Φ3.5X1,0.025
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,钻Φ11X1,0.04
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,钻Φ4.2X1,0.028
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,攻M4X1,0.02
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,攻M5X1,0.02
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,磨叉口,0.07
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,倒内孔,0.033
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,冲坑,0.025
HM13-37-1叉杆（Φ21X195，Φ21X30，Φ21X48）,打磨,0.048
HM13-30叉杆（Φ22X499）,开料,0.036
HM13-30叉杆（Φ22X499）,开叉口,0.035
HM13-30叉杆（Φ22X499）,倒角,0.0173
HM13-30叉杆（Φ22X499）,拍平,0.0324
HM13-30叉杆（Φ22X499）,剪边、冲孔,0.027
HM13-30叉杆（Φ22X499）,钻Φ7X2,0.03
HM13-30叉杆（Φ22X499）,钻Φ11X1,0.03
HM13-30叉杆（Φ22X499）,钻Φ3.2X1,0.024
HM13-30叉杆（Φ22X499）,钻Φ3.2X1,0.024
HM13-30叉杆（Φ22X499）,攻M4X1,0.013
HM13-30叉杆（Φ22X499）,攻M4X1,0.013
HM13-30叉杆（Φ22X499）,倒内孔,0.033
HM13-30叉杆（Φ22X499）,冲坑,0.025
HM13-30叉杆（Φ22X499）,打磨,0.075
HM13-30叉杆（Φ22X499）,合计:,0.415
HM13-35吊杆（Φ21X152）,开料,0.036
HM13-35吊杆（Φ21X152）,倒角,0.022
HM13-35吊杆（Φ21X152）,钻Φ7X2,0.03
HM13-35吊杆（Φ21X152）,钻Φ7X2,0.03
HM13-35吊杆（Φ21X152）,倒内孔,0.028
HM13-35吊杆（Φ21X152）,打磨,0.048
HM13-35-1吊杆（Φ21X100）,开料,0.036
HM13-35-1吊杆（Φ21X100）,倒角,0.022
HM13-35-1吊杆（Φ21X100）,钻Φ7X2,0.03
HM13-35-1吊杆（Φ21X100）,钻Φ7X2,0.03
HM13-35-1吊杆（Φ21X100）,倒内孔,0.028
HM13-35-1吊杆（Φ21X100）,打磨,0.048
HM13-40吊杆（Φ21X150）,开料,0.036
HM13-40吊杆（Φ21X150）,倒角,0.022
HM13-40吊杆（Φ21X150）,钻Φ7X2,0.03
HM13-40吊杆（Φ21X150）,钻Φ7X2,0.03
HM13-40吊杆（Φ21X150）,钻Φ3.2X1,0.024
HM13-40吊杆（Φ21X150）,钻Φ3.2X1,0.024
HM13-40吊杆（Φ21X150）,攻M4X2,0.026
HM13-40吊杆（Φ21X150）,倒内孔,0.028
HM13-40吊杆（Φ21X150）,打磨,0.048
HM13-40吊杆（Φ21X150）,合计:,0.268
HM13-29叉杆（Φ22X489）,开料,0.036
HM13-29叉杆（Φ22X489）,开叉口,0.035
HM13-29叉杆（Φ22X489）,倒角,0.0173
HM13-29叉杆（Φ22X489）,剪边、冲孔,0.027
HM13-29叉杆（Φ22X489）,拍平,0.0324
HM13-29叉杆（Φ22X489）,钻Φ7X2,0.038
HM13-29叉杆（Φ22X489）,钻Φ7X2,0.038
HM13-29叉杆（Φ22X489）,钻Φ11X1,0.03
HM13-29叉杆（Φ22X489）,钻Φ4X1,0.025
HM13-29叉杆（Φ22X489）,钻Φ4X1,0.025
HM13-29叉杆（Φ22X489）,钻Φ3.2X1,0.024
HM13-29叉杆（Φ22X489）,攻M4X1,0.013
HM13-29叉杆（Φ22X489）,倒内孔,0.033
HM13-29叉杆（Φ22X489）,冲坑,0.025
HM13-29叉杆（Φ22X489）,冲地唛,0.025
HM13-29叉杆（Φ22X489）,冲商标,0.025
HM13-29叉杆（Φ22X489）,打磨,0.075
HM13-27吊杆（Φ21X100）,开料,0.036
HM13-27吊杆（Φ21X100）,倒角,0.022
HM13-27吊杆（Φ21X100）,钻Φ7X2,0.03
HM13-27吊杆（Φ21X100）,钻Φ7X2,0.03
HM13-27吊杆（Φ21X100）,钻Φ3.2X1,0.024
HM13-27吊杆（Φ21X100）,攻M4X1,0.013
HM13-27吊杆（Φ21X100）,倒内孔,0.028
HM13-27吊杆（Φ21X100）,打磨,0.048
HM13-39吊杆（Φ22X445）,开料,0.036
HM13-39吊杆（Φ22X445）,倒角,0.022
HM13-39吊杆（Φ22X445）,钻Φ7X2,0.038
HM13-39吊杆（Φ22X445）,钻Φ7X2,0.038
HM13-39吊杆（Φ22X445）,钻Φ8.5X2,0.04
HM13-39吊杆（Φ22X445）,钻Φ11X1,0.04
HM13-39吊杆（Φ22X445）,钻Φ3.2X1,0.028
HM13-39吊杆（Φ22X445）,钻Φ3.2X1,0.028
HM13-39吊杆（Φ22X445）,攻M4X1,0.02
HM13-39吊杆（Φ22X445）,攻M4X1,0.02
HM13-39吊杆（Φ22X445）,倒内孔,0.033
HM13-39吊杆（Φ22X445）,冲坑,0.025
HM13-39吊杆（Φ22X445）,冲地唛,0.025
HM13-39吊杆（Φ22X445）,打磨,0.075
HM13-27-1吊杆（Φ21X152）,开料,0.036
HM13-27-1吊杆（Φ21X152）,倒角,0.022
HM13-27-1吊杆（Φ21X152）,钻Φ7X2,0.03
HM13-27-1吊杆（Φ21X152）,钻Φ7X2,0.03
HM13-27-1吊杆（Φ21X152）,钻Φ3.2X1,0.024
HM13-27-1吊杆（Φ21X152）,攻M4X1,0.013
HM13-27-1吊杆（Φ21X152）,倒内孔,0.028
HM13-27-1吊杆（Φ21X152）,打磨,0.048
HM13-27-2吊杆（Φ21X200）,开料,0.036
HM13-27-2吊杆（Φ21X200）,倒角,0.022
HM13-27-2吊杆（Φ21X200）,钻Φ7X2,0.03
HM13-27-2吊杆（Φ21X200）,钻Φ7X2,0.03
HM13-27-2吊杆（Φ21X200）,钻Φ3.2X1,0.024
HM13-27-2吊杆（Φ21X200）,攻M4X1,0.013
HM13-27-2吊杆（Φ21X200）,倒内孔,0.028
HM13-27-2吊杆（Φ21X200）,打磨,0.048
nct3-21叉杆（Φ21X350）,开料,0.036
nct3-21叉杆（Φ21X350）,开叉口,0.0378
nct3-21叉杆（Φ21X350）,倒角,0.0173
nct3-21叉杆（Φ21X350）,拍平,0.0324
nct3-21叉杆（Φ21X350）,剪边、冲孔,0.027
nct3-21叉杆（Φ21X350）,钻Φ9X2,0.04
nct3-21叉杆（Φ21X350）,钻Φ9X2,0.04
nct3-21叉杆（Φ21X350）,钻Φ11X1,0.04
nct3-21叉杆（Φ21X350）,倒内孔,0.028
nct3-21叉杆（Φ21X350）,冲坑,0.025
nct3-21叉杆（Φ21X350）,打磨,0.048
nct3-20叉杆（Φ21X200）,开料,0.036
nct3-20叉杆（Φ21X200）,开叉口,0.0378
nct3-20叉杆（Φ21X200）,倒角,0.0173
nct3-20叉杆（Φ21X200）,拍平,0.0324
nct3-20叉杆（Φ21X200）,剪边、冲孔,0.027
nct3-20叉杆（Φ21X200）,钻Φ9X2,0.04
nct3-20叉杆（Φ21X200）,钻Φ9X2,0.04
nct3-20叉杆（Φ21X200）,钻Φ11X1,0.04
nct3-20叉杆（Φ21X200）,倒内孔,0.028
nct3-20叉杆（Φ21X200）,冲坑,0.025
nct3-20叉杆（Φ21X200）,打磨,0.048
R-644叉杆,开料,0.036
R-644叉杆,倒角,0.0173
